review,rating,date,product_name,category,scraped_date,rating_numeric,processed_text,sentiment
"Sumpah sih sepatunya kece beut dah, dijamin gak nyesel deh. Solnya juga bagus empuk bgt, pokonya nyaman deh untuk di pakai seharian😝😁😉",bintang 5,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,sumpah sih sepatu kece beut dah jamin gak nyesel deh sol bagus empuk bgt poko nyaman deh pakai hari,positive
"Bentuk dan ukuran: Pas di kaki suami aku
Aroma: Tidak ada aroma tajam yg mengganggu
Daya tahan pakai: Sepatunya sangat nyaman dipake tdk kasar dan tebal
Warna: Warna sesu...",bintang 5,4 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,bentuk ukur pas kaki suami aku aroma ada aroma tajam ganggu daya tahan pakai sepatu sangat nyaman dipake tdk kasar tebal warna warna sesu,positive
"Pesanan sesuai, tidak ada kerusakan barang, packing biasa tanpa bublewrap",bintang 5,7 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,pesan sesuai ada rusa barang packing biasa bublewrap,positive
Asli bagus banget... Sesuai expetasi harga segitu keren bgt...,bintang 5,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,asli bagus banget sesuai expetasi harga segitu keren bgt,positive
Cantik sesuai di foto.sol empuk. Biasa beli sepatu ukuran 41 masih ada celah dikit ini pas pas. Mungkin buat yang lain mau beli dan suka yang ada celah dikit bisa pesan u...,bintang 5,4 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,cantik sesuai foto sol empuk biasa beli sepatu ukur ada celah dikit pas pas mungkin buat lain mau beli suka ada celah dikit pesan,positive
"Warna: Putih
Bentuk dan ukuran: Zise 40
Daya tahan pakai: Agak tipis sihh
Tpi puas dgn hasilnya pas banget di kaki suamiku🥰 next order lgi sihh ini",bintang 4,3 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,4,warna putih bentuk ukur zise daya tahan pakai tipis sihh tpi puas dgn hasil pas banget kaki suami next order lgi sihh,positive
Makasi kos kakinya mind cuma kok no41 nya kecil dkit tapi pas buat kaki,bintang 5,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,makas kos kaki mind cuma kok nya kecil dkit pas buat kaki,positive
Sepatunya sangat bgus cuman syg terlalu kecil,bintang 5,6 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,sepatu sangat bgus cuman syg terlalu kecil,positive
barang dtng sesuai pesanan ukurannya jg sesuai... bagus tebal alas bawahnya karet jd gk licin... ccok buat ank bujang sy... smoga dia suka ... makasih seler smoga lancar...,bintang 5,4 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,barang dtng sesuai pesan ukur sesuai bagus tebal alas bawah karet licin ccok buat ank bujang smoga suka makasih seler smoga lancar,positive
"Masyaallah... sepatunya bagus bangets 🥰🥰🥰bagus...bagus dan bagus ,sesuai ekspektasi.....terima kasih untuk tokonya yg amanah semoga berkah barokah dan terima kasih ban...",bintang 5,5 bulan lalu,"K9NINE Sepatu Sneakers Pria Sepatu Import Fashion Olahraga Casual Shoes - Putih, 44",Alas_kaki,2025-06-25 15:59:28,5,masyaallah sepatu bagus bangets bagus bagus bagus sesuai ekspektasi terima kasih toko amanah moga berkah barokah terima kasih ban,positive
